line_code	env_code	Yprd	Yobs	Rep
E27	IA14	1434.057	1426.45	1
E30	IA14	1508.073	1463.1451	1
E34	IA14	1464.227	1525.499	1
E42	IA14	1504.507	1565.3095	1
E47	IA14	1500.905	1553.3184	1
E55	IA14	1590.695	1552.1193	1
E56	IA14	1589.227	1634.3785	1
E58	IA14	1619.62	1619.9891	1
E6	IA14	1596.528	1579.9387	1
E63	IA14	1461.086	1392.16	1
E68	IA14	1609.706	1608.9573	1
E75	IA14	1499.53	1414.22	1
E76	IA14	1554.524	1672.75	1
E91	IA14	1508.332	1538.6892	1
E94	IA14	1468.698	1619.9891	1
E104	PR11	1469.342	1464.7108	1
E107	PR11	1520.936	1629.878	1
E121	PR11	1489.157	1488.0238	1
E129	PR11	1517.675	1653.9813	1
E13	PR11	1537.741	1571.0026	1
E133	PR11	1455.516	1511.3369	1
E135	PR11	1514.878	1577.6019	1
E137	PR11	1402.54	1444.95	1
E139	PR11	1543.981	1665.84	1
E140	PR11	1536.744	1687.76	1
E142	PR11	1460.622	1535.8354	1
E146	PR11	1555.142	1618.0239	1
E147	PR11	1647.166	1727.48	1
E15	PR11	1447.433	1464.7108	1
E150	PR11	1467.245	1569.8172	1
E151	PR11	1536.222	1535.4403	1
E153	PR11	1492.481	1556.47	1
E156	PR11	1482.891	1490.3947	1
E158	PR11	1478.068	1740.52	1
E163	PR11	1505.94	1558.7533	1
E165	PR11	1485.849	1444.95	1
E17	PR11	1567.926	1593.9205	1
E172	PR11	1618.84	1740.52	1
E176	PR11	1515.433	1523.5862	1
E178	PR11	1561.548	1593.9205	1
E185	PR11	1469.969	1546.8992	1
E188	PR11	1605.616	1692.7	1
E192	PR11	1471.978	1535.8354	1
E193	PR11	1547.274	1582.0664	1
E195	PR11	1530.016	1444.95	1
E20	PR11	1442.367	1432.31	1
E204	PR11	1531.698	1500.2731	1
E206	PR11	1481.58	1432.31	1
E207	PR11	1485.315	1488.0238	1
E219	PR11	1486.189	1733.54	1
E223	PR11	1554.066	1618.8141	1
E227	PR11	1525.018	1618.8141	1
E229	PR11	1579.864	1558.42	1
E231	PR11	1511.148	1464.7108	1
E232	PR11	1565.816	1454.83	1
E238	PR11	1525.457	1593.9205	1
E239	PR11	1580.944	1535.8354	1
E244	PR11	1496.677	1525.5618	1
E25	PR11	1590.346	1666.63	1
E27	PR11	1409.874	1444.95	1
E30	PR11	1493.645	1607.7503	1
E34	PR11	1446.758	1454.83	1
E42	PR11	1472.943	1703.37	1
E47	PR11	1481.314	1464.7108	1
E55	PR11	1583.665	1593.9205	1
E56	PR11	1580.127	1618.8141	1
E58	PR11	1611.474	1753.16	1
E6	PR11	1583.612	1559.5436	1
E63	PR11	1432.492	1467.0816	1
E68	PR11	1595.966	1753.56	1
E75	PR11	1472.518	1478.1454	1
E76	PR11	1535.132	1666.63	1
E91	PR11	1489.082	1488.0238	1
E94	PR11	1440.49	1716.41	1
E104	IA13	2139.654	1963.83	1
E107	IA13	1855.454	1995.64	1
E121	IA13	1912.411	1709.9	1
E129	IA13	1816.078	1949.7815	1
E13	IA13	1953.882	1872.3161	1
E133	IA13	2033.444	1953.7651	1
E135	IA13	1708.403	1869.1183	1
E137	IA13	1901.034	1882.4382	1
E139	IA13	1805.905	1716.17	1
E140	IA13	1761.093	1820.0769	1
E142	IA13	1678.77	1725.13	1
E146	IA13	1813.327	1794.3246	1
E147	IA13	1882.186	1846.725	1
E15	IA13	1805.024	1925.1016	1
E150	IA13	2065.237	2078.05	1
E151	IA13	1856.239	1757.38	1
E153	IA13	1946.287	2138.96	1
E156	IA13	2071.307	1845.6053	1
E158	IA13	1835.385	1857.81	1
E163	IA13	1616.291	1831.2736	1
E165	IA13	1793.372	1869.1183	1
E17	IA13	2012.43	2218.27	1
E172	IA13	1813.824	1776.9527	1
E176	IA13	1870.015	1783.1279	1
E178	IA13	1811.525	1725.13	1
E185	IA13	1743.475	1771.4834	1
E188	IA13	1799.778	1832.3932	1
E192	IA13	1833.582	1896.4382	1
E193	IA13	1762.23	1869.1183	1
E195	IA13	1783.276	1869.1183	1
E20	IA13	1831.513	1843.5899	1
E204	IA13	1851.168	1856.802	1
E206	IA13	1747.061	1734.09	1
E207	IA13	1756.45	1635.11	1
E219	IA13	1809.581	1851.8376	1
E223	IA13	1764.462	1723.05	1
E227	IA13	1696.198	1782.6801	1
E229	IA13	1862.854	2036.4	1
E231	IA13	1951.822	2172.79	1
E232	IA13	1967.274	2197.63	1
E238	IA13	1896.637	1896.4382	1
E239	IA13	2037.304	2009.97	1
E244	IA13	1872.872	1855.9062	1
E25	IA13	1699.237	1725.13	1
E27	IA13	1907.455	1620.78	1
E30	IA13	1790.498	1697.14	1
E34	IA13	1806.173	1939.2094	1
E42	IA13	2122.371	1757.38	1
E47	IA13	1884.413	1820.0769	1
E55	IA13	1728.306	1709.9	1
E56	IA13	1767.359	1855.9062	1
E58	IA13	1779.097	1910.9938	1
E6	IA13	1849.366	1861.2806	1
E63	IA13	2020.817	1807.0888	1
E68	IA13	1878.682	1770.1398	1
E75	IA13	2028.285	1896.4382	1
E76	IA13	1934.128	2009.97	1
E91	IA13	1885.159	1771.4834	1
E94	IA13	2020.88	1864.8636	1
E104	PR14S	2345.815	2076.32	1
E107	PR14S	1958.338	1986.4198	1
E121	PR14S	2042.587	1601.53	1
E129	PR14S	1907.855	1890.4152	1
E13	PR14S	2081.87	1897.3973	1
E133	PR14S	2211.191	2076.32	1
E135	PR14S	1767.923	1636.44	1
E137	PR14S	2054.349	1954.1274	1
E139	PR14S	1886.461	1801.39	1
E140	PR14S	1830.094	2029.1855	1
E142	PR14S	1745.863	1926.1987	1
E146	PR14S	1892.734	1952.3818	1
E147	PR14S	1954.468	1880.8147	1
E15	PR14S	1915.004	1751.64	1
E150	PR14S	2249.154	2153.56	1
E151	PR14S	1954.663	1815.36	1
E153	PR14S	2085.859	2414.95	1
E156	PR14S	2252.279	2013.4757	1
E158	PR14S	1945.281	1852.0133	1
E163	PR14S	1650.23	1670.48	1
E165	PR14S	1887.953	1783.06	1
E17	PR14S	2149.14	2894.54	1
E172	PR14S	1873.792	1817.1	1
E176	PR14S	1979.069	1952.3818	1
E178	PR14S	1888.407	1735.94	1
E185	PR14S	1827.594	1566.62	1
E188	PR14S	1859.495	1954.1274	1
E192	PR14S	1944.796	1817.1	1
E193	PR14S	1828.341	1636.44	1
E195	PR14S	1861.168	1801.39	1
E20	PR14S	1951.198	2254.8	1
E204	PR14S	1949.423	1868.596	1
E206	PR14S	1828.711	1636.44	1
E207	PR14S	1839.84	1704.52	1
E219	PR14S	1909.042	2046.64	1
E223	PR14S	1829.171	1781.32	1
E227	PR14S	1748.846	1817.1	1
E229	PR14S	1949.89	2092.02	1
E231	PR14S	2087.355	3252.37	1
E232	PR14S	2090.746	2287.96	1
E238	PR14S	2010.796	2046.64	1
E239	PR14S	2177.661	2364.77	1
E244	PR14S	1988.575	1817.1	1
E25	PR14S	1732.728	1651.71	1
E27	PR14S	2060.491	1735.94	1
E30	PR14S	1881.797	1601.53	1
E34	PR14S	1916.715	2254.8	1
E42	PR14S	2322.108	1767.35	1
E47	PR14S	2008.39	1817.1	1
E55	PR14S	1772.792	1769.97	1
E56	PR14S	1824.944	1670.48	1
E58	PR14S	1830.651	1650.84	1
E6	PR14S	1931.1	1908.7433	1
E63	PR14S	2201.761	2076.32	1
E68	PR14S	1965.634	1752.08	1
E75	PR14S	2199.215	2204.61	1
E76	PR14S	2056.842	1846.7767	1
E91	PR14S	2006.976	1852.0133	1
