Para	Day_x	Day_y	midXY	R	P
DTR	53	72	62.5	-0.2985	2.1449
GDD	54	71	62.5	-0.6449	9.9703
dGDD	45	80	62.5	0.5754	7.6251
PR	50	75	62.5	0.3411	2.7074
PRDTR	49	76	62.5	0.3404	2.6977
DTR	41	85	63	-0.2758	1.8773
GDD	54	72	63	-0.6416	9.8459
dGDD	52	74	63	0.5866	7.9661
PR	52	74	63	0.3318	2.5785
PRDTR	50	76	63	0.3281	2.5284
DTR	41	86	63.5	-0.2575	1.6754
GDD	54	73	63.5	-0.6381	9.7124
dGDD	52	75	63.5	0.5939	8.1957
PR	52	75	63.5	0.329	2.5405
PRDTR	52	75	63.5	0.3264	2.505
DTR	41	87	64	-0.2443	1.5382
GDD	54	74	64	-0.6334	9.5415
dGDD	53	75	64	0.5887	8.0335
PR	52	76	64	0.3156	2.361
PRDTR	52	76	64	0.3142	2.3428
DTR	41	88	64.5	-0.2293	1.3895
GDD	54	75	64.5	-0.6237	9.1926
dGDD	52	77	64.5	0.5933	8.1773
PR	53	76	64.5	0.2884	2.0234
PRDTR	39	90	64.5	0.2978	2.1369
DTR	41	89	65	-0.2151	1.2565
GDD	54	76	65	-0.6174	8.9736
dGDD	52	78	65	0.6006	8.4104
PR	55	75	65	0.2694	1.8047
PRDTR	41	89	65	0.2854	1.9884
DTR	41	90	65.5	-0.2031	1.1497
GDD	54	77	65.5	-0.6084	8.6678
dGDD	52	79	65.5	0.6092	8.694
PR	55	76	65.5	0.2537	1.635
PRDTR	41	90	65.5	0.2785	1.9083
DTR	41	91	66	-0.185	0.998
GDD	54	78	66	-0.5985	8.3438
dGDD	52	80	66	0.6183	9.0055
PR	56	76	66	0.2341	1.4363
PRDTR	42	90	66	0.268	1.7899
DTR	41	92	66.5	-0.1659	0.8498
GDD	53	80	66.5	-0.5912	8.11
dGDD	52	81	66.5	0.6121	8.7916
PR	52	81	66.5	0.2141	1.2481
PRDTR	43	90	66.5	0.256	1.659
DTR	41	93	67	-0.1574	0.7873
GDD	54	80	67	-0.5856	7.9364
dGDD	53	81	67	0.6048	8.5501
PR	59	75	67	0.2019	1.1401
PRDTR	42	92	67	0.2376	1.4711
DTR	41	94	67.5	-0.1496	0.732
